Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age,Sex_I,Sex_M
1.5,1.175,0.4375,31.3261975,13.79203175,7.0023265,8.9300925,15,0,1
1.2625,0.9375,0.2875,16.71203025,7.47009325,3.40194,4.7343665,10,0,0
1.2625,0.975,0.4625,17.36406875,7.5693165,4.025629,4.876114,7,1,0
1.425,1.0125,0.4,26.20911275,9.76640275,6.19436575,8.3631025,19,0,1
1.2375,0.9375,0.3,17.406593,8.09378225,3.86970675,4.5642695,8,1,0
1.6125,1.2875,0.6,43.70075425,13.3526145,10.4609655,15.1669825,13,0,1
1.05,0.7875,0.25,9.73805325,4.4508715,2.25378525,2.551455,6,1,0
0.6375,0.4625,0.175,2.1262125,0.793786,0.510291,0.7087375,6,1,0
1.5125,1.15,0.425,31.808139,9.8372765,8.63242275,8.9300925,13,0,0
0.4,0.275,0.0625,0.55281525,0.21262125,0.1417475,0.170097,4,1,0
1.175,0.925,0.3,13.33843975,5.23048275,2.99087225,4.3941725,12,1,0
1.0625,0.775,0.2625,10.3475675,4.5075705,2.33883375,2.9766975,6,1,0
1.3,1.0,0.3125,15.8473705,7.200773,3.9405805,4.2240755,8,0,1
1.7125,1.275,0.45,41.23434775,17.90270925,8.80251975,10.56018875,9,0,1
1.6625,1.3,0.4125,47.86813075,20.68096025,11.5382465,12.09106175,11,0,0
0.95,0.75,0.25,8.107957,3.69960975,1.587572,2.551455,7,1,0
1.375,1.0875,0.35,21.36134825,9.31281075,4.40834725,6.59125875,10,1,0
1.4375,1.15,0.4125,27.14464625,13.65028425,5.51397775,6.690482,10,0,0
1.1625,0.8125,0.35,21.58814425,10.262519,4.35164825,5.9250455,10,1,0
1.325,1.0875,0.425,23.11901725,8.46232575,4.3941725,7.7961125,13,0,0
1.175,0.875,0.2875,13.8062065,5.54232725,3.6003865,4.3941725,8,0,0
1.5375,1.3125,0.3875,32.24755625,10.4042665,6.690482,10.489315,20,0,1
1.7,1.35,0.3875,43.488133,19.0225145,10.7444605,10.886208,10,0,1
1.5625,1.2375,0.4,34.983283,17.95940825,5.443104,9.922325,13,0,0
0.8875,0.675,0.2625,7.6827145,4.03980375,1.48834875,2.08368825,9,1,0
1.1375,0.8875,0.3,12.74310025,5.0178615,2.948348,4.252425,9,0,0
1.425,1.0875,0.35,24.33804575,11.07047975,5.556502,6.50621025,8,0,0
1.175,0.9125,0.3,15.3937785,6.50621025,4.23825025,4.252425,9,0,0
1.3125,1.05,0.3875,23.870279,12.133586,4.01145425,5.79747275,9,0,1
1.425,1.125,0.3875,33.83512825,14.5432935,5.953395,9.7238785,10,0,1
1.3,1.0125,0.3125,18.24290325,6.84640425,4.91863825,5.953395,12,0,0
1.5875,1.2125,0.4125,36.69842775,18.937466,7.38504475,7.69688925,9,0,0
1.525,1.1875,0.375,27.39979175,11.75086775,5.6699,9.7805775,10,1,0
1.3,1.025,0.3125,19.80212575,8.34892775,4.60679375,6.0951425,10,0,0
1.475,1.15,0.3625,28.08017975,12.8423235,6.25106475,7.7961125,8,0,0
1.1875,0.9375,0.3125,16.40018575,7.86698625,2.4097075,4.3941725,10,0,0
1.45,1.175,0.4125,26.2799865,9.11436425,5.62737575,8.9300925,11,0,1
0.3875,0.2875,0.0625,0.680388,0.2551455,0.1417475,0.21262125,5,0,1
1.1,0.8625,0.325,12.74310025,5.9250455,2.36718325,3.798833,6,1,0
1.425,1.125,0.3875,33.8776525,15.94659375,7.27164675,8.3631025,10,0,1
1.1375,0.9375,0.3125,12.984071,5.62737575,3.1467945,3.40194,10,0,0
1.4875,1.1375,0.35,25.911443,11.04213025,6.30776375,7.6827145,9,0,0
1.25,0.925,0.3,15.43630275,7.0590255,3.01922175,4.309124,8,1,0
1.5625,1.05,0.4125,30.03629525,10.149121,4.6776675,12.6155275,21,0,0
1.55,1.2,0.575,31.00017825,11.4248485,6.9456275,10.0640725,14,0,0
0.9625,0.75,0.2875,9.73805325,4.66349275,2.4097075,2.90582375,6,0,1
1.225,1.0,0.3375,17.690088,8.60407325,3.64291075,4.7910655,8,1,0
1.05,0.7875,0.275,11.41067375,5.25883225,2.3530085,2.87747425,8,1,0
1.7125,1.3,0.375,38.0733785,13.13999325,8.278054,11.3398,13,0,1
0.75,0.575,0.2375,3.92640575,1.587572,1.03475675,1.0489315,6,1,0
1.3125,1.0,0.3625,17.27902025,7.030676,4.5075705,4.9611625,9,1,0
1.1,0.85,0.2625,10.319218,4.195726,2.28213475,3.33106625,8,0,0
1.325,1.05,0.4625,21.318824,8.4765005,4.422522,5.8116475,20,1,0
1.2875,1.0875,0.425,17.8885345,7.83863675,3.1467945,6.123492,12,0,0
1.125,0.875,0.3125,12.57300325,5.2446575,2.551455,4.1106775,11,0,0
1.125,0.875,0.275,14.571643,7.1724235,2.96252275,3.96893,8,1,0
1.2875,0.9625,0.325,17.6617385,8.09378225,3.64291075,4.9611625,10,0,1
1.1875,0.9375,0.2875,14.75591475,6.6054335,3.3735905,4.12485225,7,1,0
0.6375,0.4625,0.15,2.494756,1.03475675,0.5953395,0.6520385,5,1,0
1.1875,0.9,0.3625,17.93105875,8.00873375,3.8838815,5.386405,8,1,0
1.25,0.8875,0.35,14.968536,6.02426875,4.2240755,3.96893,9,0,1
1.5,1.1125,0.4375,29.9654215,10.8578585,6.123492,10.0640725,16,1,0
1.3375,1.0375,0.375,16.34348675,10.19164525,3.8271825,6.3786375,8,1,0
1.625,1.3,0.4875,36.3157095,16.96717575,6.973977,10.84368375,10,0,0
1.7,1.3625,0.4625,47.400364,20.05727125,10.319218,13.60776,11,0,1
1.4375,1.1375,0.3625,33.0271675,16.4710595,6.44951125,8.50485,14,0,1
1.5375,1.1875,0.4375,34.699788,17.10892325,7.3992195,8.8166945,9,0,1
1.5375,1.2125,0.4,32.81454625,14.18892475,7.07320025,8.9300925,10,0,0
1.5375,1.1875,0.325,23.88445375,10.0073735,5.42892925,7.1157245,8,1,0
1.6125,1.2,0.475,38.8671645,19.63202875,8.23552975,9.922325,12,0,0
1.675,1.2875,0.425,40.44056175,18.72484475,9.62465525,10.489315,11,0,0
1.8875,1.5625,0.525,71.0154975,33.92017675,14.5432935,19.23513575,11,0,0
1.5625,1.1875,0.4,30.74503275,14.18892475,6.67630725,8.80251975,10,0,1
0.8875,0.675,0.25,6.123492,2.3530085,1.0489315,2.1262125,10,1,0
1.7,1.375,0.4375,41.7588135,20.2131935,7.994559,12.17611025,11,0,0
0.9375,0.7,0.225,6.0951425,2.381358,1.70097,1.5592225,6,1,0
1.6375,1.2625,0.4125,36.003865,17.10892325,7.427569,9.4970825,10,0,1
1.55,1.225,0.375,33.8776525,13.05494475,8.561549,10.0640725,9,0,1
0.5375,0.375,0.1375,1.1623295,0.4252425,0.2551455,0.35436875,3,1,0
1.5875,1.25,0.4125,42.2124055,20.2698925,9.76640275,10.24834425,13,1,0
0.95,0.7625,0.2625,7.9662095,2.96252275,1.74349425,2.551455,12,0,0
0.9625,0.7375,0.2375,9.4970825,4.1673765,2.664853,2.551455,7,0,1
1.075,0.85,0.25,9.65300475,3.95475525,1.88524175,3.40194,8,1,0
1.65,1.2875,0.5,46.67745175,21.2337755,11.963489,11.3681495,11,0,1
1.5625,1.2,0.425,38.34269875,17.67591325,7.881161,10.3475675,10,0,0
0.9875,0.75,0.225,7.9095105,3.798833,1.3891255,2.1262125,8,1,0
1.55,1.2,0.375,31.22697425,14.07552675,6.8889285,8.6465975,10,0,1
1.45,1.1125,0.375,27.00289875,12.23280925,5.51397775,8.1363065,11,0,1
1.1125,0.8125,0.25,10.716111,5.08873525,2.83495,2.5231055,7,1,0
0.7,0.5125,0.25,3.30271675,1.54504775,0.80796075,0.850485,5,0,1
1.1625,0.875,0.325,14.004653,5.51397775,2.9199985,4.3941725,18,0,0
1.65,1.25,0.4375,37.63396125,15.762322,7.95203475,11.58077075,9,0,0
0.725,0.5375,0.15,3.16096925,1.5025235,0.52446575,0.907184,5,1,0
1.15,0.9375,0.3375,13.99047825,5.273007,2.39553275,4.819415,12,0,1
1.5125,1.1875,0.375,32.601925,16.3009625,6.577084,8.4198015,10,0,1
1.2375,0.95,0.3,16.2442635,7.52679225,3.64291075,4.082328,7,0,0
1.075,0.85,0.275,10.33339275,4.5075705,2.42388225,2.9766975,7,1,0
0.4875,0.375,0.1125,1.06310625,0.510291,0.170097,0.3118445,3,1,0
1.4875,1.175,0.3875,34.06192425,13.947954,10.95708175,7.5126175,10,0,1
1.5625,1.3,0.4375,39.98696975,19.5895045,9.128539,9.82310175,10,0,1
1.325,1.025,0.3875,20.28406725,7.95203475,4.77689075,6.066793,11,0,1
1.1875,0.9,0.275,12.813974,5.4147545,2.8066005,3.685435,8,1,0
1.775,1.4375,0.5375,56.9541455,28.05183025,12.68640125,14.231449,11,0,1
0.9125,0.6875,0.2125,6.3219385,2.778251,1.06310625,2.1262125,7,1,0
0.925,0.6875,0.25,7.98038425,4.26659975,1.43164975,1.927766,5,1,0
1.5625,1.2125,0.5,39.12231,16.57028275,8.561549,11.3681495,9,0,0
1.45,1.125,0.4375,30.277266,12.0485375,5.7549485,9.07184,13,0,1
1.4375,1.0625,0.375,24.84833675,12.8990225,5.10291,6.463686,8,0,0
0.1875,0.1375,0.025,0.056699,0.0283495,0.01417475,0.04252425,1,1,0
1.0125,0.775,0.1625,9.08601475,4.46504625,1.871067,2.494756,6,1,0
1.5875,1.25,0.375,39.008912,18.41300025,10.2341695,8.788345,10,0,0
1.0875,0.875,0.2625,11.89261525,5.499803,2.84912475,3.685435,7,0,0
0.8125,0.575,0.225,4.1673765,1.70097,0.963883,1.2757275,4,0,1
1.225,0.9625,0.375,22.29688175,6.8322295,3.96893,6.80388,23,0,0
1.575,1.225,0.5625,37.874932,19.29183475,7.3425205,9.19941275,10,0,0
1.5625,1.225,0.3875,34.26037075,13.1825175,4.592619,11.6516445,11,0,0
1.65,1.2125,0.3875,34.79901125,17.293195,7.767763,8.50485,8,0,1
1.3875,1.0125,0.3,25.8830935,12.99824575,5.556502,5.85417175,9,0,0
1.55,1.225,0.425,34.31706975,14.69921575,7.24329725,9.4970825,13,0,1
1.8375,1.5,0.55,72.4329725,32.13415825,12.47378,17.0097,11,0,0
1.7125,1.275,0.4125,43.7999775,19.447757,10.70193625,11.49572225,10,0,1
0.925,0.725,0.2375,7.0590255,2.96252275,1.644271,1.8994165,6,1,0
1.45,1.15,0.375,28.22192725,12.1619355,6.010094,7.37087,19,0,0
1.5,1.125,0.375,27.28639375,12.40290625,6.30776375,7.86698625,9,0,0
1.55,1.1875,0.4,32.02076025,13.1258185,7.61184075,9.355335,10,0,0
1.375,1.0625,0.4,22.4811535,9.7238785,5.76912325,6.0951425,9,0,1
1.325,1.025,0.35,19.3060095,8.77417025,4.01145425,5.20213325,6,0,1
1.2875,0.95,0.3,17.7184375,9.25611175,3.67126025,4.53592,7,1,0
1.35,1.0375,0.275,17.5483405,7.81028725,4.252425,5.00368675,10,1,0
1.0875,0.8125,0.3,9.808927,4.5075705,2.381358,2.6932025,7,1,0
1.5375,1.2375,0.4,35.5786225,16.48523425,9.05766525,9.14271375,12,0,0
1.275,0.9875,0.3625,17.53416575,6.123492,3.92640575,6.80388,12,0,1
1.5875,1.2875,0.475,38.88133925,14.35902175,8.6465975,12.757275,10,0,0
1.525,1.2125,0.425,28.98736375,11.8784405,6.81805475,10.20582,12,0,1
0.7125,0.5625,0.175,2.84912475,1.20485375,0.52446575,0.9922325,7,1,0
1.35,1.0125,0.3875,27.54153925,9.14271375,5.499803,8.221355,19,0,1
1.5,1.1875,0.4,29.10076175,13.7495075,7.07320025,7.27164675,9,0,0
0.7875,0.575,0.175,4.649318,1.77184375,1.13398,1.2757275,6,1,0
1.325,1.0375,0.325,23.88445375,7.7961125,5.51397775,7.5126175,20,0,1
1.2125,1.0375,0.35,16.17338975,7.087375,3.798833,5.2446575,8,1,0
1.525,1.1875,0.375,31.56716825,14.72756525,7.29999625,8.51902475,11,0,0
1.25,0.9375,0.375,18.030282,7.18659825,4.1106775,5.386405,10,0,1
1.1,0.8375,0.275,11.01378075,4.9611625,2.36718325,3.1467945,7,1,0
1.325,1.025,0.35,21.38969775,9.90815025,4.86193925,5.96756975,8,0,1
1.1875,0.9125,0.35,12.88484775,4.8477645,3.345241,4.479221,8,1,0
1.175,0.95,0.3625,16.62698175,6.76135575,4.082328,5.2446575,8,0,1
0.8875,0.65,0.225,5.45727875,2.1829115,1.077281,1.8427175,8,1,0
1.4,1.075,0.375,25.01843375,9.82310175,4.876114,8.788345,9,0,0
1.0625,0.775,0.225,8.5331995,3.92640575,1.8427175,2.26796,7,1,0
1.375,1.125,0.325,26.08154,10.716111,6.76135575,8.221355,11,0,1
1.15,0.925,0.275,11.24057675,4.20990075,2.42388225,4.12485225,8,1,0
1.3125,1.075,0.3125,23.0481435,9.39785925,4.706017,5.03203625,12,0,0
1.0,0.775,0.2875,9.82310175,4.18155125,1.97029025,3.2601925,10,0,0
1.0625,0.825,0.325,12.48795475,4.309124,2.65067825,4.3941725,9,0,1
1.275,1.0,0.3625,16.37183625,6.5487345,4.0539785,5.0178615,9,1,0
1.325,0.9875,0.2875,16.11669075,7.0590255,3.89805625,4.5642695,9,0,0
1.4625,1.15,0.4125,29.993771,13.777857,7.087375,8.334753,9,0,0
1.425,1.1625,0.3875,27.45649075,12.643877,7.3992195,7.2291225,9,0,0
1.35,1.0375,0.325,23.37416275,7.711064,6.406987,6.80388,13,0,1
1.2125,0.925,0.2875,18.0586315,10.77281,3.78465825,3.628736,7,1,0
0.875,0.6625,0.225,6.42116175,2.82077525,1.63009625,1.8427175,6,0,1
1.4125,1.125,0.3875,30.03629525,13.42348825,6.80388,7.5126175,10,0,1
1.55,1.2,0.3875,35.59279725,14.9401865,10.602713,9.00096625,11,0,1
0.725,0.575,0.1875,3.30271675,1.2190285,0.72291225,1.13398,7,0,1
1.5,1.2375,0.4125,35.19590425,13.7495075,7.86698625,9.63883,15,0,1
1.625,1.2125,0.35,33.3106625,13.4660125,6.90310325,6.0951425,8,0,1
1.0125,0.8125,0.275,10.13494625,4.1106775,2.05533875,3.118445,12,0,0
1.1625,0.8625,0.2625,11.38232425,6.860579,0.97805775,3.0900955,6,1,0
1.175,0.8875,0.45,13.60776,5.82582225,2.9766975,4.26659975,8,1,0
1.25,0.9625,0.3,14.628342,5.5848515,3.69960975,4.6776675,8,1,0
1.4875,1.1625,0.375,27.78251,11.66581925,5.556502,6.39281225,10,0,0
1.85,1.5125,0.5,70.66112875,32.47435225,16.3009625,14.84096325,13,0,1
1.45,1.0625,0.375,23.926978,10.33339275,5.2446575,7.66853975,9,0,0
0.9875,0.775,0.2375,8.8733935,3.7137845,2.041164,2.6365035,7,1,0
1.6625,1.3125,0.4375,40.9083285,18.80989325,10.90038275,10.0073735,11,0,1
0.6625,0.4875,0.15,2.608154,0.97805775,0.7087375,0.69456275,6,1,0
1.6125,1.2,0.425,32.16250775,14.968536,7.200773,8.6465975,10,0,0
1.8,1.3625,0.4875,49.54075125,23.28911425,10.8578585,13.33843975,11,0,1
1.175,0.9625,0.3375,16.71203025,7.83863675,3.40194,4.819415,8,0,1
1.4125,1.1625,0.375,31.99241075,10.6877615,9.99319875,9.355335,16,0,1
0.7125,0.525,0.1375,2.8632995,1.17650425,0.4819415,0.94970825,5,1,0
1.525,1.1875,0.3875,33.112216,15.705623,6.7755305,9.34116025,10,0,1
1.4875,1.1375,0.4,29.48348,12.813974,7.52679225,8.164656,9,0,0
0.925,0.725,0.225,6.8322295,3.118445,1.2757275,1.9561155,10,0,1
1.175,0.8625,0.2875,13.84873075,5.68407475,3.061746,4.706017,11,1,0
1.5875,1.1875,0.425,33.83512825,14.75591475,7.64019025,10.39009175,10,0,1
1.5625,1.3125,0.4875,38.328524,12.77144975,6.93145275,15.025235,13,0,0
0.7375,0.5375,0.2125,3.628736,1.3891255,0.963883,1.13398,6,1,0
1.35,1.05,0.3625,24.53649225,12.23280925,4.6209685,6.16601625,10,0,0
1.5625,1.2,0.45,34.6714385,16.0174675,8.43397625,9.56795625,10,0,1
0.825,0.6625,0.2125,5.556502,2.19708625,0.86465975,1.26155275,6,1,0
1.125,0.85,0.325,10.53183925,4.55009475,2.25378525,2.9766975,9,0,1
1.15,0.9375,0.3,13.93377925,6.25106475,2.494756,4.819415,7,0,0
1.5625,1.1125,0.4,30.900955,13.04077,8.40562675,8.618248,11,0,0
1.5625,1.25,0.425,31.14192575,13.16834275,6.23689,10.035723,9,0,1
1.175,0.9,0.3,13.53688625,5.96756975,2.99087225,4.252425,10,0,0
1.6625,1.25,0.4375,36.78347625,17.22232125,8.901743,8.9300925,9,0,1
1.5625,1.25,0.45,38.85298975,18.2854275,8.5898985,10.50348975,12,0,1
1.225,0.9625,0.4,18.597272,6.95980225,4.8477645,5.8116475,9,0,0
1.95,1.5,0.525,72.234526,33.86347775,16.28678775,19.12173775,11,0,1
1.375,1.1,0.4125,24.39474475,8.845044,4.7910655,8.50485,17,1,0
1.025,0.8125,0.25,11.169703,5.896696,1.85689225,3.005047,6,1,0
1.3125,1.0,0.3125,19.74542675,10.4609655,3.92640575,4.649318,9,1,0
1.3375,1.075,0.35,20.31241675,8.09378225,4.52174525,6.10931725,8,0,1
1.2625,0.975,0.4,18.257078,7.01650125,5.74077375,4.63514325,9,0,0
1.4375,1.125,0.4,27.71163625,8.88756825,6.5487345,9.355335,12,0,0
1.4375,1.125,0.4125,26.12406425,9.28446125,6.3786375,7.257472,12,0,1
1.0375,0.8125,0.25,9.11436425,4.35164825,1.68679525,2.9766975,10,1,0
1.225,0.9,0.275,14.18892475,4.5642695,3.0333965,5.5281525,17,0,0
1.3125,0.95,0.3375,17.4349425,7.3992195,4.5075705,4.9611625,8,1,0
1.45,1.15,0.3875,29.29920825,13.2959155,6.30776375,8.3631025,10,0,1
1.4875,1.175,0.625,36.3724085,13.097469,7.01650125,12.6155275,14,0,0
1.4875,1.1875,0.425,35.3518265,13.60776,6.3786375,12.0485375,20,0,0
1.6125,1.3,0.4375,46.379782,22.0842605,9.695529,12.246984,11,0,1
1.6125,1.3,0.45,36.4291075,16.37183625,9.979024,8.9867915,9,0,0
1.5,1.1875,0.45,33.46658475,12.31785775,7.01650125,12.0485375,19,0,0
1.4,1.1375,0.3875,22.5945515,9.63883,5.386405,6.87475375,11,0,1
1.175,0.9,0.3625,15.2236815,4.89028875,3.89805625,5.5281525,15,0,0
1.0375,0.7875,0.2625,9.355335,3.98310475,1.99863975,2.6932025,6,1,0
1.0375,0.7625,0.3,9.525432,4.6776675,2.154562,2.28213475,7,1,0
1.675,1.35,0.4875,45.8978405,20.97863,9.36950975,13.1825175,11,0,0
1.15,0.85,0.225,10.886208,5.08873525,1.927766,3.118445,8,1,0
1.55,1.225,0.4,29.3417325,12.47378,7.15824875,8.0796075,11,0,1
1.3625,1.0,0.325,19.447757,9.31281075,4.12485225,5.10291,9,1,0
0.325,0.25,0.075,0.3685435,0.12757275,0.0850485,0.113398,3,1,0
1.575,1.325,0.45,36.27318525,17.519991,7.257472,8.9300925,9,0,1
1.6125,1.275,0.3875,32.0065855,14.21727425,6.80388,9.695529,10,0,0
1.825,1.425,0.4125,57.16676675,30.29144075,11.850091,12.3320325,10,0,0
0.875,0.6625,0.2,5.6699,2.551455,1.190679,1.70097,7,1,0
1.1375,0.8625,0.3125,12.47378,4.7910655,3.01922175,3.8271825,12,0,1
0.9625,0.725,0.2,7.04485075,3.458639,1.40330025,1.8427175,7,1,0
1.4,1.0875,0.4625,31.354547,11.963489,6.90310325,9.355335,15,0,0
1.275,1.0,0.35,18.46969925,6.95980225,4.72019175,5.2446575,10,0,1
1.1875,0.95,0.3625,16.159215,4.7343665,3.345241,5.3013565,11,0,0
1.2875,0.975,0.3,16.0174675,6.6621325,3.8271825,5.0745605,9,1,0
1.15,0.9125,0.3125,13.2392165,5.37223025,2.67902775,4.479221,10,0,1
1.6,1.2875,0.2,29.540179,14.5999925,4.97533725,4.9611625,10,0,1
1.475,1.1875,0.35,27.6974615,13.11164375,5.74077375,7.7961125,10,0,1
1.45,1.05,0.4,20.638436,7.72523875,5.386405,5.386405,14,1,0
1.6,1.2125,0.4625,40.24211525,19.09338825,9.82310175,9.22776225,11,0,0
1.5625,1.2,0.4375,30.1922175,13.79203175,7.3425205,8.0796075,10,0,1
0.9375,0.75,0.1875,4.082328,1.6726205,0.850485,1.247378,7,1,0
1.4625,1.15,0.375,34.189497,16.4710595,6.123492,9.1568885,10,0,1
1.4875,1.1875,0.4125,34.3879435,17.6050395,6.90310325,7.767763,9,0,1
1.025,0.825,0.2625,9.4970825,4.32329875,2.097863,3.118445,7,1,0
1.5125,1.1375,0.3625,27.71163625,13.267566,5.03203625,7.7961125,9,0,0
1.3375,1.0125,0.4625,23.65765775,9.00096625,4.89028875,8.221355,16,0,1
1.5625,1.2375,0.3875,29.72445075,13.8062065,6.010094,9.11436425,11,0,1
1.3875,1.0875,0.3625,19.7737763,7.427569,4.46504625,6.80388,11,1,0
1.325,1.05,0.3375,19.1926115,7.27164675,4.01145425,5.953395,9,0,0
1.7125,1.3625,0.45,50.121916,21.24795025,11.113004,13.7495075,16,0,0
1.5125,1.1875,0.4375,39.179009,17.2648455,6.59125875,11.29727575,10,0,0
1.425,1.1375,0.4125,30.03629525,12.47378,6.22271525,8.0796075,14,0,0
0.6875,0.5,0.1625,3.30271675,1.60174675,0.3685435,0.9922325,7,1,0
0.9375,0.6875,0.225,6.747181,3.04757125,1.54504775,1.984465,6,1,0
1.4625,1.15,0.425,26.43590875,10.3475675,7.6827145,8.221355,9,0,0
1.5625,1.175,0.3625,27.895908,13.4660125,5.6699,7.5126175,11,0,0
1.275,1.0125,0.3375,21.8007655,10.36174225,4.49339575,5.10291,7,1,0
1.8,1.4375,0.4875,60.96559975,30.46153775,10.829509,16.5844575,10,0,0
1.175,0.9125,0.2625,11.92096475,4.6209685,2.93417325,3.96893,9,0,0
1.325,1.05,0.4125,25.35862775,9.0434905,6.7755305,6.9456275,11,0,1
1.3375,1.0,0.3625,19.9863975,8.68912175,3.86970675,6.23689,10,1,0
1.5875,1.25,0.45,35.62114675,15.2803805,8.278054,9.922325,10,0,0
0.9625,0.6625,0.2,7.1157245,3.515338,1.0489315,1.984465,6,1,0
1.325,1.075,0.4,20.53921275,9.1001895,3.61456125,6.80388,9,1,0
1.5375,1.1875,0.475,40.63900825,20.73765925,8.6465975,9.31281075,9,0,1
1.525,1.175,0.4,30.46153775,13.96212875,6.690482,8.221355,8,0,0
1.0875,0.8125,0.2625,9.4970825,3.855532,1.8427175,3.2601925,8,1,0
1.4625,1.125,0.425,24.62154075,9.42620875,4.63514325,7.654365,22,0,0
1.625,1.3125,0.4375,41.71628925,19.1359125,8.9300925,11.3114505,11,0,1
1.0125,0.75,0.275,9.07184,4.876114,1.247378,2.6365035,7,1,0
1.7125,1.3375,0.4375,44.91978275,20.34076625,10.70193625,11.94931425,9,0,0
0.4875,0.3375,0.1,0.92135875,0.38271825,0.1417475,0.26932025,4,1,0
1.6625,1.2625,0.4,36.5425055,17.42076775,7.1724235,10.39009175,11,0,1
1.475,1.1625,0.3875,32.205032,14.86931275,7.41339425,7.7961125,11,0,1
1.3625,1.1,0.375,26.86115125,10.375917,6.7755305,7.7961125,8,0,0
0.8375,0.6375,0.2125,5.06038575,2.0128145,1.14815475,1.5592225,9,1,0
1.075,0.8125,0.25,10.33339275,4.46504625,2.33883375,2.9766975,7,1,0
1.4625,1.175,0.4125,39.9444455,22.6796,6.4920355,8.3631025,10,0,1
1.175,0.9375,0.325,16.42853525,6.08096775,4.649318,5.5281525,13,0,1
1.4,1.0375,0.3625,24.153774,12.190285,5.34388075,5.8116475,8,0,1
1.725,1.375,0.45,47.0318205,24.70658925,7.52679225,12.45960525,9,0,0
0.6875,0.5,0.1625,2.608154,1.09145575,0.66621325,0.7654365,5,1,0
1.575,1.2,0.4625,34.302895,15.025235,7.24329725,9.128539,11,0,1
1.1125,0.875,0.325,11.89261525,4.80524025,2.67902775,3.38776525,7,1,0
1.1375,0.8875,0.3125,15.09610875,6.3786375,3.572037,4.15320175,7,1,0
1.25,0.925,0.375,30.09299425,14.004653,6.3219385,8.391452,9,0,1
1.025,0.8,0.2875,10.9712565,4.6776675,2.84912475,2.79242575,11,0,0
1.325,1.0625,0.325,22.1409595,11.07047975,5.68407475,6.0951425,9,1,0
1.4125,1.1375,0.375,27.76833525,12.587178,5.8116475,7.7961125,8,0,1
0.8625,0.6375,0.225,5.68407475,2.664853,0.83631025,1.7860185,9,0,1
1.55,1.2,0.4,31.53881875,15.97494325,6.93145275,7.9662095,8,0,0
1.2875,0.9625,0.3125,17.33571925,9.00096625,3.58621175,4.252425,8,1,0
1.4125,1.1375,0.3875,26.52095725,11.9351395,5.1879585,7.37087,11,0,1
1.1375,0.875,0.3,13.70698325,5.14543425,4.082328,4.53592,11,0,1
1.5625,1.2375,0.3875,33.3673615,14.33067225,7.881161,9.7805775,9,0,1
1.1,0.85,0.25,11.5382465,5.9250455,2.08368825,2.9199985,7,1,0
1.175,0.9375,0.3,15.77649675,6.406987,3.458639,5.5281525,12,0,1
1.4875,1.125,0.3625,27.1871705,13.1258185,5.85417175,7.18659825,10,0,1
1.1125,0.8625,0.35,13.494362,5.82582225,2.87747425,3.07592075,15,0,1
1.1875,0.9375,0.3,15.9607685,7.15824875,3.41611475,5.2446575,10,0,1
1.1,0.85,0.3,12.417081,5.99591925,2.3530085,3.40194,9,1,0
1.3,1.0375,0.4,16.8679525,5.96756975,4.025629,7.37087,15,1,0
1.15,0.8625,0.275,13.02659525,6.6621325,2.50893075,3.288542,7,0,1
